version workload runs warmup blocks threads_per_block num_floats malloc_mean malloc_max free_mean free_max work_mean work_max
baseline sum_reduce 20 2 192 64 25 1.78432e+06 3.21445e+06 28815.8 4.76161e+06 3330.43 7688
baseline sum_reduce 20 2 192 64 25 1.71666e+06 7.72546e+06 16638.5 178415 3304.67 9708
baseline sum_reduce 20 2 192 64 25 1.91375e+06 8.25414e+06 29027.8 4.57758e+06 3376.53 8704
baseline sum_reduce 20 2 192 64 25 1.50601e+06 2.64111e+06 28151.8 4.60713e+06 3317.11 7893
baseline sum_reduce 20 2 192 64 25 1.52788e+06 2.28878e+06 41061.8 4.83461e+06 3321.38 7271
baseline sum_reduce 20 2 192 64 25 1.74356e+06 7.71479e+06 52133.1 4.43181e+06 3350.98 6963
baseline sum_reduce 20 2 192 64 25 1.61627e+06 2.59188e+06 28460.6 4.65973e+06 3332.24 10746
baseline sum_reduce 20 2 192 64 25 1.94008e+06 3.08301e+06 30416.4 4.93316e+06 3640.42 8858
baseline sum_reduce 20 2 192 64 25 1.43288e+06 2.67065e+06 28921 4.75061e+06 3398.5 7492
baseline sum_reduce 20 2 192 64 25 2.07413e+06 4.03276e+06 28733.4 4.74175e+06 3395.06 7498
baseline sum_reduce 20 2 192 64 25 1.8232e+06 8.1614e+06 17040.2 188348 3306.88 7858
baseline sum_reduce 20 2 192 64 25 1.74338e+06 2.96394e+06 40163.2 4.70066e+06 3409.34 6918
baseline sum_reduce 20 2 192 64 25 1.53721e+06 7.32008e+06 16252.7 151490 3222.19 6190
baseline sum_reduce 20 2 192 64 25 1.52889e+06 2.33686e+06 28206.1 4.62089e+06 3341.33 6782
baseline sum_reduce 20 2 192 64 25 1.59206e+06 2.69807e+06 40847.9 4.76921e+06 3341.79 6984
baseline sum_reduce 20 2 192 64 25 2.09917e+06 4.22939e+06 30130.5 4.8741e+06 3600.13 28034
baseline sum_reduce 20 2 192 64 25 1.58114e+06 2.50877e+06 29188.8 4.83953e+06 3505.35 8627
baseline sum_reduce 20 2 192 64 25 1.71413e+06 2.75948e+06 40228.6 4.69996e+06 3291.17 8407
baseline sum_reduce 20 2 192 64 25 1.49468e+06 7.52107e+06 30323.3 4.73975e+06 3442.74 11784
baseline sum_reduce 20 2 192 64 25 1.64951e+06 2.80981e+06 41081.6 4.84742e+06 3335.61 7318
baseline sum_reduce 20 2 192 64 50 2.59549e+06 3.6398e+06 61719.8 6.08748e+06 6548.61 15180
baseline sum_reduce 20 2 192 64 50 2.46716e+06 3.27458e+06 44810.8 5.79062e+06 6453.08 16757
baseline sum_reduce 20 2 192 64 50 2.48171e+06 3.16551e+06 76810.2 6.04638e+06 6747.54 18415
baseline sum_reduce 20 2 192 64 50 2.67156e+06 8.85541e+06 47544.5 5.89417e+06 6649.23 17001
baseline sum_reduce 20 2 192 64 50 2.51205e+06 8.9535e+06 16873.3 165521 6879.35 14636
baseline sum_reduce 20 2 192 64 50 2.53035e+06 8.997e+06 16137.3 220295 6716.75 17515
baseline sum_reduce 20 2 192 64 50 2.65385e+06 3.42934e+06 46910.1 6.00825e+06 6767.17 24535
baseline sum_reduce 20 2 192 64 50 2.71384e+06 3.5436e+06 30534.6 5.81696e+06 6546.78 15704
baseline sum_reduce 20 2 192 64 50 2.44719e+06 3.32954e+06 45979.7 5.79722e+06 6780.8 16901
baseline sum_reduce 20 2 192 64 50 2.39476e+06 9.15565e+06 31810.9 5.69813e+06 6550.25 15904
baseline sum_reduce 20 2 192 64 50 2.58526e+06 3.3397e+06 32355.5 6.10375e+06 6831.24 19268
baseline sum_reduce 20 2 192 64 50 2.42261e+06 3.38103e+06 45143.5 5.90719e+06 6371.7 17434
baseline sum_reduce 20 2 192 64 50 2.5767e+06 9.03584e+06 17140 234426 7080.02 28670
baseline sum_reduce 20 2 192 64 50 2.39978e+06 8.824e+06 30364.7 5.54691e+06 6430.78 15393
baseline sum_reduce 20 2 192 64 50 2.48118e+06 3.10892e+06 46133.3 5.84391e+06 6684.23 17288
baseline sum_reduce 20 2 192 64 50 2.41674e+06 3.45518e+06 44890.7 5.87942e+06 6215.3 13802
baseline sum_reduce 20 2 192 64 50 2.65857e+06 9.6542e+06 15995 192393 6592.72 19108
baseline sum_reduce 20 2 192 64 50 2.61878e+06 9.26723e+06 31987.5 5.93616e+06 6528.17 16602
